slug,name,image,description,play_url,link
10-minutes-till-dawn,10 MINUTES TILL DAWN,https://unblocked-games-g-plus.poki2.online/assets/upload/66games/jpg/10-minutes-till-dawn.jpg,"Game Controls (aka) How To play:  Game is played with mouse and WASD keys.
Quick Summary of the Game: 10 MINUTES TILL DAWN is a thrilling online 2d game that puts you in the shoes of survivor trying to escape a zombie-infested world. With just 10 minutes till dawn, fight off the undead, every decision you make could mean the difference between life and death. Can you survive ?",https://unblocked-games-g-plus.poki2.online/play/10-minutes-till-dawn.html,https://sites.google.com/view/unblocked-games-g-site/10-minutes-till-dawn
amazing-strange-rope-police,AMAZING STRANGE ROPE POLICE,https://unblocked-games-g-plus.poki2.online/assets/upload/66games/jpg/amazing-strange-rope-police.jpg,"Game Controls (aka) How To play:  WASD or arrow keys: move /
T: open nearby garage /
Q: shoot web /
Right click: laser /
Left click: shoot or punch /
Space bar: jump /
Left shift: run /
X: switch weapons
Quick Summary of the Game: Amazing Strange Rope Police is an online game where you play as a superhero who fights crime in the city. You can swing from buildings with your rope, shoot webs to move around, and use a variety of weapons to take down the bad guys. The game is set in an open-world environment where you can explore the city and complete missions to progress the story. Play the game unblocked in school with friends and have fun exploring world from Spiderman view.",https://unblocked-games-g-plus.poki2.online/play/amazing-strange-rope-police.html,https://sites.google.com/view/unblocked-games-g-site/amazing-strange-rope-police
arras-io,ARRAS IO,https://unblocked-games-g-plus.poki2.online/assets/upload/66games/jpg/arras-io.jpg,"Game Controls (aka) How To play:  Game is played with mouse and WASD keys.
Quick Summary of the Game: Arras.io is a multiplayer game that can be played online for free without download. Players control tanks and battle against other players in a variety of different game modes. The objective is to destroy other tanks and earn points to level up and become stronger.  Game is known as Diep.io on Unblocked Private Proxy Server.",https://unblocked-games-g-plus.poki2.online/play/arras-io.html,https://sites.google.com/view/unblocked-games-g-site/arras-io
bacon-may-die,BACON MAY DIE,https://unblocked-games-g-plus.poki2.online/assets/upload/66games/jpg/bacon-may-die.jpg,"Game Controls (aka) How To play:  Game is played with ARROW keys.
Quick Summary of the Game: Bacon May Die is a online browser game where players control a pig armed with weapons to fight off waves of enemies. The objective is to survive as long as possible, collect coins to upgrade weapons and abilities, and unlock new levels. The game features simple controls, cartoonish graphics, and fast-paced action. Play this game unblocked at school and have fun.",https://unblocked-games-g-plus.poki2.online/play/bacon-may-die.html,https://sites.google.com/view/unblocked-games-g-site/bacon-may-die
bad-ice-cream-2,BAD ICE CREAM 2,https://unblocked-games-g-plus.poki2.online/assets/upload/66games/jpg/bad-ice-cream-2.jpg,"Game Controls (aka) How To play:  Controls are shown in-game.
Quick Summary of the Game: Bad Ice Cream 2 is a fun and addictive levels parkour based online game where players control a cute character that must collect fruits while avoiding enemies. The game has colorful graphics and catchy music that create an engaging and enjoyable experience. With over 40 levels, Bad Ice Cream 2 is perfect for anyone looking for a nostalgic and challenging gaming experience.",https://unblocked-games-g-plus.poki2.online/play/bad-ice-cream-2.html,https://sites.google.com/view/unblocked-games-g-site/bad-ice-cream-2
bad-ice-cream-3,BAD ICE CREAM 3,https://unblocked-games-g-plus.poki2.online/assets/upload/66games/jpg/bad-ice-cream-3.jpg,"Game Controls (aka) How To play:  Game is played with keyboard: ARROW KEYS, WASD KEYS,
Quick Summary of the Game: Bad Ice Cream 3 is a fun and addictive online game where you play as a mischievous ice cream cone that must navigate through various mazes and obstacles to collect all the fruit. But watch out for the pesky enemies that are trying to stop you! Play the game with your friends in school or solo at home.",https://unblocked-games-g-plus.poki2.online/play/bad-ice-cream-3.html,https://sites.google.com/view/unblocked-games-g-site/bad-ice-cream-3
baldis-basics-field-trip,BALDI'S BASICS FIELD TRIP,https://unblocked-games-g-plus.poki2.online/assets/upload/66games/jpg/baldis-basics-field-trip.jpg,"Game Controls (aka) How To play:  WASD or ARROW keys for moving
Quick Summary of the Game: Baldi’s Basics Field Trip Camping Remake is a fun and challenging game that takes you on a camping trip with Baldi and his friends. You’ll need to collect firewood, food, and other supplies to survive the trip, while also avoiding dangerous obstacles and solving puzzles along the way. The game is fast-paced and exciting, with plenty of surprises to keep you on your toes. Whether you’re a fan of Baldi’s Basics or just looking for a fun new game to play online, Field Trip Camping Remake is definitely worth checking out!",https://unblocked-games-g-plus.poki2.online/play/baldis-basics-field-trip.html,https://sites.google.com/view/unblocked-games-g-site/baldis-basics-field-trip
baldis-basics,BALDI'S BASICS,https://unblocked-games-g-plus.poki2.online/assets/upload/66games/jpg/baldis-basics.jpg,"Game Controls (aka) How To play:  WASD moving. Other controls are shown in-game.
Quick Summary of the Game: Baldi’s Basics is a quirky online browser game that takes you back to the old-school days of edutainment. The game is set in a seemingly innocent school where you must solve math problems and collect notebooks to progress. However, there’s a catch: your teacher Baldi is a little unhinged and will chase you down if you get a problem wrong. The game is surprisingly addictive and has a retro feel that will transport you back to your childhood. Be warned though, Baldi’s Basics is not for the faint-hearted - it can be pretty scary at times!",https://unblocked-games-g-plus.poki2.online/play/baldis-basics.html,https://sites.google.com/view/unblocked-games-g-site/baldis-basics
bloons-td-2,BLOONS TD 2,https://unblocked-games-g-plus.poki2.online/assets/upload/66games/jpg/bloons-td-2.jpg,"Game Controls (aka) How To play:  Game is played with mouse.
Quick Summary of the Game: Bloons Tower Defense 2 is an epic online game that will take you on an unforgettable adventure. As you play, you’ll need to use your strategic skills to pop all the balloons that come your way. There are tons of levels to choose from, each with its own unique challenges and obstacles. The game is addictive, and you’ll find yourself coming back for more every time you complete a level. With fun graphics, cool sound effects, and engaging gameplay, Bloons TD 2 is a game that you won’t want to miss out on. So what are you waiting for? Start playing now!",https://unblocked-games-g-plus.poki2.online/play/bloons-td-2.html,https://sites.google.com/view/unblocked-games-g-site/bloons-td-2
bloons-td4,BLOONS TD4,https://unblocked-games-g-plus.poki2.online/assets/upload/66games/jpg/bloons-td4.jpg,"Game Controls (aka) How To play:  Game is played only with mouse.
Quick Summary of the Game: Bloons Tower Defense 4 is an addictive online tower defense game that has captured the hearts of gamers worldwide. The objective of the game is simple - stop the colorful balloons from reaching the end of the track by strategically placing towers along the way. With each level, the difficulty increases, and players must use a combination of different towers and upgrades to pop the balloons before they escape. The game features a wide variety of maps, towers, and upgrades, providing endless hours of gameplay.",https://unblocked-games-g-plus.poki2.online/play/bloons-td4.html,https://sites.google.com/view/unblocked-games-g-site/bloons-td4
bloxd-io,BLOXD IO,https://unblocked-games-g-plus.poki2.online/assets/upload/66games/jpg/bloxd-io.jpg,"Game Controls (aka) How To play:  Game controls are shown in-game.
Quick Summary of the Game: Bloxd.io is an online multiplayer game where players create their own avatars and explore a virtual Minecraft style world filled with different challenges and obstacles. The game involves building and designing various structures using blocks while interacting with other players. Players can also engage in battles, capture territories, and participate in various mini-games like: Survival, Peaceful, Creative, Bed Wars, Greenville, Evil Tower, Bloxdhop, DoodleCube, CubeWarfare, Oneblock, Worlds.",https://unblocked-games-g-plus.poki2.online/play/bloxd-io.html,https://sites.google.com/view/unblocked-games-g-site/bloxd-io
bloxorz,BLOXORZ,https://unblocked-games-g-plus.poki2.online/assets/upload/66games/jpg/bloxorz.jpg,"Game Controls (aka) How To play:  Game is played with arrow keys.
Quick Summary of the Game: BLOXORZ is an addictive online game that challenges players to solve puzzles and maneuver a block through a series of obstacles. With simple controls and increasingly difficult levels, it’s easy to get hooked on the game. The goal is to make sure the block falls into the square hole at the end of each level without falling off the edge of the platform or getting stuck in any of the gaps or traps. It’s a great way to pass the time and exercise your problem-solving skills.",https://unblocked-games-g-plus.poki2.online/play/bloxorz.html,https://sites.google.com/view/unblocked-games-g-site/bloxorz
bob-the-robber-2,BOB THE ROBBER 2,https://unblocked-games-g-plus.poki2.online/assets/upload/66games/jpg/bob-the-robber-2.jpg,"Game Controls (aka) How To play:  WASD or ARROW keys for controlling BOB
Quick Summary of the Game: Bob The Robber 2 is an addictive online browser game that puts players in the shoes of a crafty thief, Bob, as he sneaks through various locations to steal valuable items. The game’s smooth controls, colorful graphics, and challenging gameplay keep players engaged and coming back for more. With each level, Bob faces new obstacles and enemies, forcing players to strategize and adapt their approach. As players progress, they can earn rewards and unlock new gadgets and abilities that help Bob become an even better thief.",https://unblocked-games-g-plus.poki2.online/play/bob-the-robber-2.html,https://sites.google.com/view/unblocked-games-g-site/bob-the-robber-2
connect-3,CONNECT 3,https://unblocked-games-g-plus.poki2.online/assets/upload/66games/jpg/connect-3.jpg,"Game Controls (aka) How To play:  Game is played with mouse.
Quick Summary of the Game: Connect 3 is a fun and addictive game that anyone can enjoy playing online. The objective is to connect three or more same-colored pieces in a row vertically, horizontally, or diagonally. It’s easy to learn but challenging to master, and there are different levels of difficulty to keep you engaged. The game is perfect for passing the time or competing with friends.",https://unblocked-games-g-plus.poki2.online/play/connect-3.html,https://sites.google.com/view/unblocked-games-g-site/connect-3
craftmine,CRAFTMINE,https://unblocked-games-g-plus.poki2.online/assets/upload/66games/jpg/craftmine.jpg,"Game Controls (aka) How To play:  WASD keys and MOUSE
Quick Summary of the Game: Craftmine is a fun and addictive online browser game where you can explore a virtual world and use your creativity to build and create anything you want. You start off by gathering resources like wood and stone, and then you can use them to make tools, weapons, and even buildings. The best part is that you can play with your friends and work together to build amazing structures and defend against monsters that come out at night.",https://unblocked-games-g-plus.poki2.online/play/craftmine.html,https://sites.google.com/view/unblocked-games-g-site/craftmine
creative-kill-chamber,CREATIVE KILL CHAMBER,https://unblocked-games-g-plus.poki2.online/assets/upload/66games/jpg/creative-kill-chamber.jpg,"Game Controls (aka) How To play:  Game is played with mouse.
Quick Summary of the Game: Creative Kill Chamber is a super addictive online game where you play as a prisoner trying to escape from a high-security facility. You have to use your cunning and wits to outsmart your captors and take them out one by one. The game is filled with tons of cool weapons and gadgets that you can use to create your own unique kill strategies. It’s got a great mix of action, strategy, and humor that keeps you on the edge of your seat.",https://unblocked-games-g-plus.poki2.online/play/creative-kill-chamber.html,https://sites.google.com/view/unblocked-games-g-site/creative-kill-chamber
crossy-road,CROSSY ROAD,https://unblocked-games-g-plus.poki2.online/assets/upload/66games/jpg/crossy-road.jpg,"Game Controls (aka) How To play:  WASD or ARRO KEYS for playing.
Quick Summary of the Game: Crossy Road is a simple and addictive arcade game where players control a character, such as a chicken or a frog, and attempt to cross a busy road without getting hit by cars, trucks, or other obstacles. The game features colorful 3D graphics and a variety of characters to unlock, as well as a multiplayer mode for playing with friends. The objective is to get as far as possible without dying, while collecting coins and power-ups along the way.",https://unblocked-games-g-plus.poki2.online/play/crossy-road.html,https://sites.google.com/view/unblocked-games-g-site/crossy-road
dashcraft-io,DASHCRAFT IO,https://unblocked-games-g-plus.poki2.online/assets/upload/66games/jpg/dashcraft-io.jpg,"Game Controls (aka) How To play:  WASD or ARROW keys for playing.
Quick Summary of the Game: Dashcraft.io is an online multiplayer racing game where players compete in fast-paced races on a track filled with obstacles and power-ups. The objective is to reach the finish line before other players while avoiding crashes and collecting bonuses that boost speed or provide temporary advantages. The game features customizable cars and allows players to team up or compete against each other in various game modes.",https://unblocked-games-g-plus.poki2.online/play/dashcraft-io.html,https://sites.google.com/view/unblocked-games-g-site/dashcraft-io
deadshot-io,DEADSHOT IO,https://unblocked-games-g-plus.poki2.online/assets/upload/66games/jpg/deadshot-io.jpg,"Game Controls (aka) How To play:  WASD or ARROW keys for moving. MOUSE: aim and shoot
Quick Summary of the Game: Dead Shot io is a multiplayer shooting game where players control a character armed with a variety of weapons and try to eliminate other players while avoiding getting killed themselves. The game takes place in a simple 3D environment, and players can collect power-ups to increase their chances of survival. The last player or team standing wins the game.",https://unblocked-games-g-plus.poki2.online/play/deadshot-io.html,https://sites.google.com/view/unblocked-games-g-site/deadshot-io
dogeminer,DOGEMINER,https://unblocked-games-g-plus.poki2.online/assets/upload/66games/jpg/dogeminer.jpg,"Game Controls (aka) How To play:  Game is played with mouse.
Quick Summary of the Game: Dogeminer is a super fun online game that’s easy to play and addicting. You get to be a dog astronaut and mine for Dogecoins on different planets in this clicker adventure game. It’s a great way to kill time and earn some virtual money. Plus, the graphics and sound effects are awesome. I love how it’s both challenging and relaxing at the same time.",https://unblocked-games-g-plus.poki2.online/play/dogeminer.html,https://sites.google.com/view/unblocked-games-g-site/dogeminer
drive-mad,DRIVE MAD,https://unblocked-games-g-plus.poki2.online/assets/upload/66games/jpg/drive-mad.jpg,"Game Controls (aka) How To play:  WASD or ARROW keys for driving
Quick Summary of the Game: Drive Mad is fun 100 levels obstacle course parkour game in which you drive Monster Truck and your only task is to get to the finish line without crashing. Play the game for free without download in school or home.",https://unblocked-games-g-plus.poki2.online/play/drive-mad.html,https://sites.google.com/view/unblocked-games-g-site/drive-mad
ev-io,EV IO,https://unblocked-games-g-plus.poki2.online/assets/upload/66games/jpg/ev-io.jpg,"Game Controls (aka) How To play:  WASD or ARROW keys for moving. Other controls shown in-game.
Quick Summary of the Game: Ev.io is a multiplayer first-person shooter game that is played in a browser. The game features several maps, weapons, and game modes, including free-for-all and team-based matches. Players can customize their weapons and characters as they progress through the game. The objective is to eliminate as many opponents as possible and score points for your team. The game is fast-paced and requires quick reflexes and strategic thinking to outsmart your opponents. Play the game with your friends or players around the world.",https://unblocked-games-g-plus.poki2.online/play/ev-io.html,https://sites.google.com/view/unblocked-games-g-site/ev-io
fightz-io,FIGHTZ IO,https://unblocked-games-g-plus.poki2.online/assets/upload/66games/jpg/fightz-io.jpg,"Game Controls (aka) How To play:  Use your mouse to move.
Left click to shoot.
Right click to dash.
Quick Summary of the Game: Fightz.io is a 2D online survival game where players must battle against each other to be the last one standing. The game is set in a simple 2D world where players can collect weapons and resources to help them in their fight. The game features simple graphics and easy-to-use controls, making it accessible for players of all skill levels. The objective is to survive as long as possible by defeating other players and avoiding hazards like traps and monsters.",https://unblocked-games-g-plus.poki2.online/play/fightz-io.html,https://sites.google.com/view/unblocked-games-g-site/fightz-io
fireboy-and-watergirl-forest-temple,FIREBOY AND WATERGIRL FOREST TEMPLE,https://unblocked-games-g-plus.poki2.online/assets/upload/66games/jpg/fireboy-and-watergirl-forest-temple.jpg,"Game Controls (aka) How To play:  WASD and ARROW keys
Quick Summary of the Game: Fireboy and Watergirl Forest Temple is a classic online game that has been enjoyed by players of all ages for many years. It’s a challenging game where you control two characters, Fireboy and Watergirl, simultaneously and guide them through levels filled with obstacles, puzzles, and traps. The game requires strategic thinking, coordination, and quick reflexes to complete each level successfully. The Forest Temple is the first installment of the series and features beautiful graphics, catchy music, and a fun storyline. It’s a game that’s easy to learn but difficult to master.",https://unblocked-games-g-plus.poki2.online/play/fireboy-and-watergirl-forest-temple.html,https://sites.google.com/view/unblocked-games-g-site/fireboy-and-watergirl-forest-temple
gartic-io,GARTIC IO,https://unblocked-games-g-plus.poki2.online/assets/upload/66games/jpg/gartic-io.jpg,"Game Controls (aka) How To play:  Game is played with mouse and keyboard.
Quick Summary of the Game: Gartic.io is an online multiplayer game where players take turns drawing a given word while others try to guess what it is. It’s like a virtual version of the classic game of Pictionary, where the objective is to have fun and guess as many words as possible before time runs out. The game can be played for free and doesn’t require any downloads or installations.",https://unblocked-games-g-plus.poki2.online/play/gartic-io.html,https://sites.google.com/view/unblocked-games-g-site/gartic-io
gartic-phone-io,GARTIC PHONE IO,https://unblocked-games-g-plus.poki2.online/assets/upload/66games/jpg/gartic-phone-io.jpg,"Game Controls (aka) How To play:  Game is played with MOUSE and KEYBOARD.
Quick Summary of the Game: Gartic Phone is an online game that puts a modern spin on the classic game of telephone (online telephone game). Players take turns drawing pictures and writing phrases, which are then passed along to the next player who must guess what the previous player drew or wrote. The game is fast-paced and fun, with players competing to see who can accurately convey the original message the fastest. It’s a great way to connect with friends and have a good time! Game is currently available only for playing with your friends.  Game features a lot of cool mods like: Normal, Knock-off, Animation, Icebreaker, Secret, Complement, Score, SpeedRun, Sandwich, Crowd, Background, Solo.",https://unblocked-games-g-plus.poki2.online/play/gartic-phone-io.html,https://sites.google.com/view/unblocked-games-g-site/gartic-phone-io
