slug,name,image,description,play_url,link
3d-free-kick,3D FREE KICK,https://unblocked-games-g-plus.poki2.online/assets/upload/66games/jpg/3d-free-kick.jpg,"Game Controls (aka) How To play:  Game is played with mouse.
Quick Summary of the Game: 3D Free Kick is a fun and challenging online game that lets you test your soccer skills. The game has impressive 3D graphics that give you an immersive experience. You’ll have to use your precision and timing to score goals from different angles and distances. The game has various modes and difficulty levels that keep you engaged and entertained. How many goals can you score?",https://unblocked-games-g-plus.poki2.online/play/3d-free-kick.html,https://sites.google.com/view/unblocked-games-g-site/3d-free-kick
ball-sort-soccer,BALL SORT SOCCER,https://unblocked-games-g-plus.poki2.online/assets/upload/66games/jpg/ball-sort-soccer.jpg,"Game Controls (aka) How To play:  Game is played with mouse.
Quick Summary of the Game: Dive into the vibrant world of Ball Sort Soccer, a captivating puzzle experience where your strategic prowess takes center stage. As you kick off, strategically arrange soccer balls of matching hues into designated tubes, adding an electrifying twist to the World Cup fervor. Show off your color-coordination finesse and unravel the thrill of this soccer-inspired challenge. Get ready to maneuver, strategize, and revel in the excitement as you align the spheres for an unparalleled gaming adventure. It’s more than just a game; it’s a soccer spectacle waiting for your masterful touch!",https://unblocked-games-g-plus.poki2.online/play/ball-sort-soccer.html,https://sites.google.com/view/unblocked-games-g-site/ball-sort-soccer
booblehead-soccer,BOOBLEHEAD SOCCER,https://unblocked-games-g-plus.poki2.online/assets/upload/66games/jpg/booblehead-soccer.jpg,"Game Controls (aka) How To play:  Move: use the arrow keys.
Shot the ball: space key
Power kick: use the X key.
Quick Summary of the Game: Step into the whimsical world of BoobleHead Soccer, where pint-sized bobblehead soccer stars engage in a lively battle on the field. Maneuver your mini gladiators strategically, aiming to send goals soaring into your opponent’s net. Unleash the chaos with power-ups that could turn the tide in your favor. Face off against 20+ top-tier soccer players, each more formidable than the last. As you progress through the levels, the competition intensifies, reaching a fever pitch by Level 3. Forget the conventional FIFA World Cup; this game is a puppet soccer extravaganza that fans will adore!",https://unblocked-games-g-plus.poki2.online/play/booblehead-soccer.html,https://sites.google.com/view/unblocked-games-g-site/booblehead-soccer
football-run,FOOTBALL RUN,https://unblocked-games-g-plus.poki2.online/assets/upload/66games/jpg/football-run.jpg,"Game Controls (aka) How To play:  WASD and ARROW keys for playing.
Quick Summary of the Game: Experience the exhilarating rush of Football Run, a dynamic game that challenges you to sprint towards the finish line while skillfully navigating through parkour-inspired obstacles. As you race with the ball, showcase your agility and precision, collecting coins along the way to boost your score. Immerse yourself in the heart-pounding excitement of this unique blend of football and parkour, where every step counts. Will you conquer the challenging terrain and emerge victorious? Lace up your virtual boots, embrace the adrenaline, and embark on an electrifying journey through the immersive world of Football Run.",https://unblocked-games-g-plus.poki2.online/play/football-run.html,https://sites.google.com/view/unblocked-games-g-site/football-run
football-strike,FOOTBALL STRIKE,https://unblocked-games-g-plus.poki2.online/assets/upload/66games/jpg/football-strike.jpg,"Game Controls (aka) How To play:  Game is played with mouse.
Quick Summary of the Game: Indulge your soccer passion with Football Strike! Compete against pals in the thrilling PVP penalty shootout mode or carve your soccer legacy in Tournament mode. Roam diverse global stadiums, tackling unique challenges for coveted medals. Personalize your striker and goalie with an array of unlockable items, flaunting your unique style or showcasing your team’s hues. Which soccer squad holds your heart? Dive into the exhilarating world of Football Strike, where every goal, every save, defines your soccer journey. Ready to experience the beautiful game like never before?",https://unblocked-games-g-plus.poki2.online/play/football-strike.html,https://sites.google.com/view/unblocked-games-g-site/football-strike
gravity-soccer,GRAVITY SOCCER,https://unblocked-games-g-plus.poki2.online/assets/upload/66games/jpg/gravity-soccer.jpg,"Game Controls (aka) How To play:  Game is played with mouse.
Quick Summary of the Game: Gravity Soccer is a fun and unique online game that puts a new spin on traditional soccer games. You need to remove obstacles from game map and try to push the ball to the goal. Each level is more complex and requires strategy to score a goal.",https://unblocked-games-g-plus.poki2.online/play/gravity-soccer.html,https://sites.google.com/view/unblocked-games-g-site/gravity-soccer
head-soccer-2023,HEAD SOCCER 2023,https://unblocked-games-g-plus.poki2.online/assets/upload/66games/jpg/head-soccer-2023.jpg,"Game Controls (aka) How To play:  Player 1: To move, use the WASD keys.
Player 2: Use the arrow keys to navigate.
Use the X and Z keys to kick the ball.
Quick Summary of the Game: Step into the exhilarating world of Head Soccer 2023, a groundbreaking addition to the realm of conquest-themed soccer sports. Live out your football fantasies as you guide your chosen player through offensive and defensive maneuvers, aiming for victory with every skillful move. Whether facing off against the computer in the intense 1P mode or challenging friends in the dynamic 2P mode, the game offers a plethora of exciting options. Can you outscore your opponents and dominate the field? It’s time to unleash your soccer prowess and experience the thrill of Head Soccer 2023!",https://unblocked-games-g-plus.poki2.online/play/head-soccer-2023.html,https://sites.google.com/view/unblocked-games-g-site/head-soccer-2023
infinite-soccer,INFINITE SOCCER,https://unblocked-games-g-plus.poki2.online/assets/upload/66games/jpg/infinite-soccer.jpg,Game Controls (aka) How To play:  Go Left - A or Left arrow,https://unblocked-games-g-plus.poki2.online/play/infinite-soccer.html,https://sites.google.com/view/unblocked-games-g-site/infinite-soccer
penalty-kick,PENALTY KICK,https://unblocked-games-g-plus.poki2.online/assets/upload/66games/jpg/penalty-kick.jpg,"Game Controls (aka) How To play:  Controls are shown in-game.
Quick Summary of the Game: Strap on your soccer boots for Penalty Kicks, a thrilling free kick challenge that pits your skills against determined goalkeepers. Master the art of precision as you aim to outsmart each goalie, adjusting your shot’s trajectory and elevation. With every advancing level, the stakes rise as more agile goalkeepers guard the net. Lace up, strategize, and aim for glory as you take on the ultimate penalty shootout. Get ready to experience the heart-pounding excitement of scoring those crucial goals in this action-packed soccer showdown!",https://unblocked-games-g-plus.poki2.online/play/penalty-kick.html,https://sites.google.com/view/unblocked-games-g-site/penalty-kick
penalty-shooters-2,PENALTY SHOOTERS 2,https://unblocked-games-g-plus.poki2.online/assets/upload/66games/jpg/penalty-shooters-2.jpg,"Game Controls (aka) How To play:  Game is played with mouse.
Quick Summary of the Game: Penalty Shooters 2 is an exciting online game that puts your soccer skills to the test. As a player, you get to take the role of a penalty kicker and face off against some of the toughest goalkeepers in the world. With its simple controls and addictive gameplay, Penalty Shooters 2 offers hours of fun and challenge. The game features a wide range of customization options, from choosing your team to selecting your uniform, and even picking your preferred soccer ball.",https://unblocked-games-g-plus.poki2.online/play/penalty-shooters-2.html,https://sites.google.com/view/unblocked-games-g-site/penalty-shooters-2
penalty-shooters-3,PENALTY SHOOTERS 3,https://unblocked-games-g-plus.poki2.online/assets/upload/66games/jpg/penalty-shooters-3.jpg,"Game Controls (aka) How To play:  Observe the shot power indicator.
Press the left mouse button (or press the screen) to start the shot.
Keep it pressed while the shot target is moving.
Release the button at the right moment to kick the ball.
Quick Summary of the Game: Step onto the virtual pitch in Penalty Shooters 3, a thrilling soccer game that puts you in the cleats of both the striker and the goalie. Choose between two exciting modes - Tier Mode with six challenging tiers, and the World Cup, where prestigious arenas await your conquest. Show off your style by customizing your players’ jerseys for that extra flair. Perfect your timing with a simple click, as you face off against an AI that evolves and grows more formidable with each match. With 250+ whimsical teams, power-ups, and achievements, the excitement is boundless. Gear up for victory!",https://unblocked-games-g-plus.poki2.online/play/penalty-shooters-3.html,https://sites.google.com/view/unblocked-games-g-site/penalty-shooters-3
rocket-league,ROCKET LEAGUE,https://unblocked-games-g-plus.poki2.online/assets/upload/66games/jpg/rocket-league.jpg,"Game Controls (aka) How To play:  Game controls are shown in game.
Quick Summary of the Game: Play fun soccer game that is played with cars against players around the world or your school friends. Enter the game arena and try to score goals without getting crashed. Upgrade your vehicle and improve your skills to get to the top of leaderboard. Game is available for playing online for free without download or registration.",https://unblocked-games-g-plus.poki2.online/play/rocket-league.html,https://sites.google.com/view/unblocked-games-g-site/rocket-league
small-world-cup,SMALL WORLD CUP,https://unblocked-games-g-plus.poki2.online/assets/upload/66games/jpg/small-world-cup.jpg,"Game Controls (aka) How To play:  Game is played with mouse.
Quick Summary of the Game: A Small World Cup game online is the perfect game for any soccer fan looking for a fun and easy way to play their favorite sport. The game is easy to pick up, with simple controls that allow you to move your player around the field, pass the ball, and score goals. The graphics are bright and colorful, and the gameplay is fast-paced and exciting. Whether you’re playing against the computer or competing against other players online, A Small World Cup game online is a great way to experience the excitement of soccer from the comfort of your own home.",https://unblocked-games-g-plus.poki2.online/play/small-world-cup.html,https://sites.google.com/view/unblocked-games-g-site/small-world-cup
soccer-heads,SOCCER HEADS,https://unblocked-games-g-plus.poki2.online/assets/upload/66games/jpg/soccer-heads.jpg,"Game Controls (aka) How To play:  SINGLEPLAYER:
Arrow keys to move
M to kick
TWOPLAYER:
To move, player 1 use the WASD keys and player 2 use arrow keys
To kick, player 1 use G and player 2 use M
Quick Summary of the Game: Dive into the exhilarating world of Soccer Heads, a lively two-player soccer extravaganza showcasing renowned UK football teams. Challenge the computer solo or engage in a fierce duel with a friend. Unleash the chaos as you strive for goals in a frantic showdown against the clock. Picture it as the digital foosball arena, where you strategically kick and head the ball to outscore your opponent. With an arsenal of extras and power-ups, Soccer Heads promises a riotous 60-second battle to determine the ultimate victor. Experience the thrill, strategize, and emerge victorious in this silly soccer showdown!",https://unblocked-games-g-plus.poki2.online/play/soccer-heads.html,https://sites.google.com/view/unblocked-games-g-site/soccer-heads
soccer-random,SOCCER RANDOM,https://unblocked-games-g-plus.poki2.online/assets/upload/66games/jpg/soccer-random.jpg,"Game Controls (aka) How To play:  WASD and ARROW keys for playing.
Quick Summary of the Game: Soccer Random is fun sports online game in which you need to beat opponents in soccer match. You can play the game unblocked hosted on Github, against your school friends and make unique soccer tournament. How many goals can you score.",https://unblocked-games-g-plus.poki2.online/play/soccer-random.html,https://sites.google.com/view/unblocked-games-g-site/soccer-random
soccer-skills-euro-cup-2021,SOCCER SKILLS EURO CUP 2021,https://unblocked-games-g-plus.poki2.online/assets/upload/66games/jpg/soccer-skills-euro-cup-2021.jpg,"Game Controls (aka) How To play:  Game is played only with mouse.
Quick Summary of the Game: Play fun Soccer Skills Euro Cup Edition 2021 online game without download and beat all countries in ultimate soccer game. The game features a variety of skill-based challenges such as dribbling, passing, shooting, and defending, and players can earn points and rewards by completing these challenges successfully. The ultimate goal is to lead your team to victory by winning the Euro Cup championship.",https://unblocked-games-g-plus.poki2.online/play/soccer-skills-euro-cup-2021.html,https://sites.google.com/view/unblocked-games-g-site/soccer-skills-euro-cup-2021
super-liquid-soccer,SUPER LIQUID SOCCER,https://unblocked-games-g-plus.poki2.online/assets/upload/66games/jpg/super-liquid-soccer.jpg,"Game Controls (aka) How To play:  Movement: WASD
Pass: M
Shoot: J
Chip: L
Through pass: I
Switch player: Q or E
Sprint: P or O
Quick Summary of the Game: Dive into the dynamic world of Super Liquid Soccer, Punyrobot’s whimsical creation that transforms the beautiful game into a playful, floppy spectacle! Pick your cherished country and explore an array of techniques, from delicate chip passes to precise through balls. With a myriad of playing styles, the path to World Champion is uniquely yours to chart. Engage in thrilling penalty shootouts, showcasing your skills both on offense and defense. Lace up your boots, feel the adrenaline, and embrace the challenge – can you conquer the soccer realm and claim the coveted title?",https://unblocked-games-g-plus.poki2.online/play/super-liquid-soccer.html,https://sites.google.com/view/unblocked-games-g-site/super-liquid-soccer
